Country,Year,Value,GHG
Estonia,2014,18498406.48,CO2
Ireland,2014,34023275.5,CO2
Greece,2014,74441473.76,CO2
Spain,2014,200881452.22,CO2
France,2014,253017054.35,CO2
Croatia,2014,13118487.3,CO2
Italy,2014,257962868.18,CO2
Cyprus,2014,5442692.42,CO2
Latvia,2014,6955643.01,CO2
Lithuania,2014,12026747.06,CO2
Luxembourg,2014,6780910.0,CO2
Hungary,2014,35922158.58,CO2
Malta,2014,2427883.48,CO2
Netherlands,2014,147652569.46,CO2
Austria,2014,44339328.24,CO2
Poland,2014,269909388.09,CO2
Portugal,2014,42545787.25,CO2
Romania,2014,66203202.38,CO2
Slovenia,2014,9750627.34,CO2
Slovakia,2014,26665689.06,CO2
Finland,2014,44900715.27,CO2
Sweden,2014,37062214.23,CO2
Iceland,2014,4247572.52,CO2
Norway,2014,53786251.34,CO2
Switzerland,2014,27052658.14,CO2
Serbia,2014,35919684.58,CO2
Türkiye,2014,280146977.0,CO2
European Union - 27 countries (from 2020),2015,2577802181.6,CO2
Belgium,2015,71895703.31,CO2
Bulgaria,2015,47144934.25,CO2
Czechia,2015,83960284.9,CO2
Denmark,2015,68280862.92,CO2
Germany,2015,666026516.21,CO2
Estonia,2015,15290103.52,CO2
Ireland,2015,35807246.72,CO2
Greece,2015,70951375.82,CO2
Spain,2015,215782321.67,CO2
France,2015,253820658.06,CO2
Croatia,2015,12977202.67,CO2
Italy,2015,262962327.13,CO2
Cyprus,2015,5250016.58,CO2
Latvia,2015,7251349.11,CO2
Lithuania,2015,12622365.3,CO2
Luxembourg,2015,7631415.0,CO2
Hungary,2015,37842948.96,CO2
Malta,2015,1687126.99,CO2
Netherlands,2015,153250033.25,CO2
Austria,2015,45406103.54,CO2
Poland,2015,273372565.64,CO2
Portugal,2015,46848142.76,CO2
Romania,2015,64824876.91,CO2
Slovenia,2015,9923024.34,CO2
Slovakia,2015,27806964.93,CO2
Finland,2015,41641665.25,CO2
Sweden,2015,37544045.87,CO2
Iceland,2015,4495222.77,CO2
Norway,2015,60809261.77,CO2
Switzerland,2015,26746007.98,CO2
Serbia,2015,43665398.04,CO2
Türkiye,2015,310123230.0,CO2
European Union - 27 countries (from 2020),2016,2574170357.12,CO2
Belgium,2016,71627061.68,CO2
Bulgaria,2016,44822120.94,CO2
Czechia,2016,86095390.75,CO2
Denmark,2016,73463290.18,CO2
Germany,2016,657452631.59,CO2
Estonia,2016,16962030.11,CO2
Ireland,2016,39796178.43,CO2
Greece,2016,68985864.96,CO2
Spain,2016,204417582.29,CO2
France,2016,253953753.32,CO2
Croatia,2016,13042454.5,CO2
Italy,2016,260583343.72,CO2
Cyprus,2016,5594924.22,CO2
Latvia,2016,7083570.54,CO2
Lithuania,2016,12296092.3,CO2
Luxembourg,2016,7474114.0,CO2
Hungary,2016,37505459.54,CO2
Malta,2016,1345031.45,CO2
Netherlands,2016,152738166.97,CO2
Austria,2016,44618393.29,CO2
Poland,2016,284120185.6,CO2
Portugal,2016,44624918.1,CO2
Romania,2016,63038788.28,CO2
Slovenia,2016,10392081.77,CO2
Slovakia,2016,28362529.42,CO2
Finland,2016,44945858.63,CO2
Sweden,2016,38828540.56,CO2
